frame,x,y,time
238,164.0,149.0,7.966666666666648
239,164.0,149.0,7.999999999999981
240,164.0,149.0,8.033333333333315
241,164.0,149.0,8.066666666666649
242,164.0,149.0,8.099999999999982
243,164.0,149.0,8.133333333333315
244,164.0,150.0,8.166666666666648
245,164.0,150.0,8.199999999999982
246,164.0,150.0,8.233333333333315
247,164.0,150.0,8.266666666666648
248,164.0,150.0,8.299999999999981
249,163.0,150.0,8.333333333333314
250,164.0,152.0,8.366666666666648
251,163.0,152.0,8.39999999999998
252,164.0,154.0,8.433333333333314
253,164.0,160.0,8.466666666666647
254,165.0,166.0,8.49999999999998
255,169.0,176.0,8.533333333333314
256,176.0,185.0,8.566666666666647
257,182.0,190.0,8.59999999999998
258,184.0,192.0,8.633333333333313
259,186.0,194.0,8.666666666666647
260,188.0,195.0,8.69999999999998
261,191.0,197.0,8.733333333333313
262,195.0,198.0,8.766666666666646
263,200.0,200.0,8.79999999999998
264,207.0,202.0,8.833333333333313
265,215.0,203.0,8.866666666666646
266,221.0,203.0,8.899999999999979
267,227.0,204.0,8.933333333333312
268,232.0,202.0,8.966666666666645
269,238.0,200.0,8.999999999999979
270,244.0,197.0,9.033333333333312
271,250.0,193.0,9.066666666666645
272,255.0,189.0,9.099999999999978
273,260.0,183.0,9.133333333333312
274,265.0,174.0,9.166666666666645
275,268.0,163.0,9.199999999999978
276,269.0,155.0,9.233333333333311
277,269.0,146.0,9.266666666666644
278,267.0,139.0,9.299999999999978
279,265.0,133.0,9.33333333333331
280,263.0,129.0,9.366666666666644
281,261.0,123.0,9.399999999999977
282,257.0,119.0,9.43333333333331
283,253.0,115.0,9.466666666666644
284,249.0,111.0,9.499999999999977
285,245.0,109.0,9.53333333333331
286,242.0,106.0,9.566666666666643
287,238.0,104.0,9.599999999999977
288,233.0,102.0,9.63333333333331
289,228.0,101.0,9.666666666666643
290,221.0,100.0,9.699999999999976
291,214.0,99.0,9.73333333333331
292,206.0,99.0,9.766666666666643
293,199.0,101.0,9.799999999999976
294,194.0,103.0,9.833333333333309
295,188.0,105.0,9.866666666666642
296,183.0,109.0,9.899999999999975
297,180.0,110.0,9.933333333333309
298,180.0,110.0,9.966666666666642
299,180.0,111.0,9.999999999999975
300,180.0,110.0,10.033333333333308
301,180.0,110.0,10.066666666666642
302,179.0,110.0,10.099999999999975
303,180.0,110.0,10.133333333333308
304,180.0,110.0,10.166666666666641
305,179.0,110.0,10.199999999999974
306,180.0,111.0,10.233333333333308
307,180.0,111.0,10.26666666666664
308,179.0,111.0,10.299999999999974
309,179.0,111.0,10.333333333333307
310,178.0,110.0,10.36666666666664
311,178.0,110.0,10.399999999999974
312,178.0,113.0,10.433333333333307
313,174.0,121.0,10.46666666666664
314,168.0,131.0,10.499999999999973
